date,open,high,low,close,volume
2024-07-20,169.21,175.0,167.27,173.68,1908476088.0
2024-07-21,173.68,185.0,170.38,184.51,3080452915.0
2024-07-22,184.52,184.99,176.75,178.98,2808509242.0
2024-07-23,178.95,180.67,170.2,173.03,3230351478.0
2024-07-24,173.05,182.5,170.94,178.0,3112174836.0
2024-07-25,178.03,179.81,165.36,171.82,4067186719.0
2024-07-26,171.81,183.68,171.67,183.06,2816314095.0
2024-07-27,183.08,188.31,178.06,183.56,3248901126.0
2024-07-28,183.56,186.67,180.99,184.9,1852374783.0
2024-07-29,184.91,193.89,181.57,182.52,3654304391.0
2024-07-30,182.52,184.72,175.35,179.11,2766172800.0
2024-07-31,179.11,184.43,171.53,171.62,3055204208.0
2024-08-01,171.61,172.93,157.67,167.22,4402828194.0
2024-08-02,167.23,169.34,149.78,152.57,4507521137.0
2024-08-03,152.57,153.82,139.73,142.45,3620526646.0
2024-08-04,142.44,145.99,131.11,138.25,4333596296.0
2024-08-05,138.26,139.27,110.0,129.81,14114308949.0
2024-08-06,129.84,149.61,129.37,144.46,5813459735.0
2024-08-07,144.46,155.06,142.32,144.77,5529725414.0
2024-08-08,144.78,163.7,141.43,163.18,5385642745.0
2024-08-09,163.16,163.58,150.79,156.32,3217916997.0
2024-08-10,156.35,158.83,152.54,154.05,2411765937.0
2024-08-11,154.06,158.0,141.2,141.57,3380174341.0
2024-08-12,141.56,151.19,141.21,146.31,3380174341.0
2024-08-13,146.31,149.98,142.89,146.7,2714536693.0
2024-08-14,146.71,152.21,142.34,143.73,3032770371.0
2024-08-15,143.74,147.61,137.8,142.57,3032770371.0
2024-08-16,142.57,144.9,136.02,139.08,2707615564.0
2024-08-17,139.07,142.0,137.66,141.96,1866239536.0
2024-08-18,141.96,147.15,140.55,142.45,2077549615.0
2024-08-19,142.41,146.25,140.38,144.31,2124392770.0
2024-08-20,144.3,148.9,141.01,142.28,2124392770.0
2024-08-21,142.27,144.41,138.81,142.82,1923259439.0
2024-08-22,142.83,144.9,140.64,143.25,2560976300.0
2024-08-23,143.24,154.16,142.75,153.39,2749419604.0
2024-08-24,153.38,162.36,152.03,160.72,4024674355.0
2024-08-25,160.71,162.01,155.27,158.99,3228430496.0
2024-08-26,158.98,162.0,155.63,157.12,2916365219.0
2024-08-27,157.12,159.73,145.0,146.81,3259777802.0
2024-08-28,146.81,148.89,140.55,143.94,4277646382.0
2024-08-29,143.97,147.38,138.1,140.04,2683385690.0
2024-08-30,140.04,141.1,132.03,137.96,3619131480.0
2024-08-31,138.0,139.22,134.49,135.32,1974170865.0
2024-09-01,135.33,136.15,127.79,128.5,2163229724.0
2024-09-02,128.5,135.44,127.0,134.97,3013293326.0
2024-09-03,134.95,137.47,126.97,127.5,2663812153.0
2024-09-04,127.49,135.0,122.3,133.61,3487004979.0
2024-09-05,133.61,135.51,127.89,129.36,3520537699.0
2024-09-06,129.36,134.45,120.51,125.01,3520537699.0
2024-09-07,125.01,129.49,124.1,127.71,2663407782.0
2024-09-08,127.71,131.67,126.6,130.13,2443769044.0
2024-09-09,130.12,137.1,127.0,135.09,2995326363.0
2024-09-10,135.1,138.0,132.56,135.61,2348115527.0
2024-09-11,135.64,135.91,128.14,132.42,2287212961.0
2024-09-12,132.42,136.77,132.39,136.05,2156350968.0
2024-09-13,136.05,139.96,131.71,139.13,2082227599.0
2024-09-14,139.13,139.9,135.67,137.15,1417428460.0
2024-09-15,137.15,137.99,130.42,131.4,1414861507.0
2024-09-16,131.4,132.37,128.84,131.46,2258705057.0
2024-09-17,131.45,135.55,130.32,131.56,2203978733.0
2024-09-18,131.56,134.47,127.08,134.35,2260675347.0
2024-09-19,134.37,144.03,134.3,142.89,3512859839.0
2024-09-20,142.88,152.41,141.21,146.66,4224196427.0
2024-09-21,146.66,149.87,144.59,149.45,1987344175.0
2024-09-22,149.45,149.94,141.04,144.64,1905658818.0
2024-09-23,144.65,149.1,142.13,144.78,2972482366.0
2024-09-24,144.79,153.95,143.11,152.74,3256533269.0
2024-09-25,152.74,153.96,147.25,147.93,3392765362.0
2024-09-26,147.95,158.03,146.52,155.57,3987013089.0
2024-09-27,155.56,161.36,154.0,157.66,3278618963.0
2024-09-28,157.67,159.44,155.02,156.77,1648179822.0
2024-09-29,156.78,161.8,155.02,158.49,1897438520.0
2024-09-30,158.49,159.77,151.65,152.5,3115135722.0
2024-10-01,152.5,157.32,142.22,145.1,3674217454.0
2024-10-02,145.08,149.03,138.55,140.16,3698868488.0
2024-10-03,140.15,142.97,133.1,136.8,3861019590.0
2024-10-04,136.81,144.66,135.91,143.22,3138205914.0
2024-10-05,143.24,144.9,140.99,142.59,1430762731.0
2024-10-06,142.61,146.76,142.0,146.48,1430620871.0
2024-10-07,146.47,152.27,143.41,143.94,3237269970.0
2024-10-08,143.95,145.54,141.11,143.4,2370856682.0
2024-10-09,143.41,145.28,138.54,139.21,1875983939.0
2024-10-10,139.21,140.75,135.36,138.95,2211416194.0
2024-10-11,138.95,146.5,138.58,145.46,2128597955.0
2024-10-12,145.46,147.32,144.55,146.35,1407196732.0
2024-10-13,146.37,148.81,144.41,147.69,1454335818.0
2024-10-14,147.72,158.0,146.73,157.52,3278037435.0
2024-10-15,157.53,159.5,150.33,154.72,4024868632.0
2024-10-16,154.74,158.39,152.84,154.24,3112224495.0
2024-10-17,154.25,155.69,147.63,150.44,2514157626.0
2024-10-18,150.43,156.69,149.55,154.92,2172780106.0
2024-10-19,154.92,159.75,153.6,159.71,1615275294.0
2024-10-20,159.72,167.9,157.58,167.37,2621417291.0
2024-10-21,167.34,171.62,161.31,166.13,5362082077.0
2024-10-22,166.07,170.98,162.95,167.48,4562911331.0
2024-10-23,167.48,174.0,164.04,170.65,4132586463.0
2024-10-24,170.65,179.12,170.27,177.07,5365428956.0
2024-10-25,177.07,177.5,159.05,164.6,4869966180.0
2024-10-26,164.58,173.0,162.2,170.66,5278190879.0
2024-10-27,170.66,178.0,170.01,176.44,3125367293.0
2024-10-28,176.43,179.6,172.27,178.2,4142315968.0
2024-10-29,178.17,183.3,176.25,179.39,4960239176.0
2024-10-30,179.35,181.2,173.11,174.85,3655569875.0
2024-10-31,174.82,176.46,167.31,168.43,3653495904.0
2024-11-01,168.42,173.94,163.6,166.02,3915542439.0
2024-11-02,166.0,168.55,162.01,166.12,1963184678.0
2024-11-03,166.11,166.55,157.8,162.46,3058834978.0
2024-11-04,162.43,164.92,155.01,157.86,3116795293.0
2024-11-05,157.86,169.39,156.69,166.64,4331060454.0
2024-11-06,166.63,190.07,166.42,186.76,11712106445.0
2024-11-07,186.76,198.0,186.01,196.44,6322733481.0
2024-11-08,196.45,205.2,195.79,199.99,6552619549.0
2024-11-09,200.0,203.49,195.05,200.0,4146577637.0
2024-11-10,200.0,215.62,198.78,210.22,9736875277.0
2024-11-11,210.22,225.0,204.32,222.42,12732619117.0
2024-11-12,222.41,225.37,205.0,211.87,15119074902.0
2024-11-13,211.88,220.84,201.0,215.46,12977541261.0
2024-11-14,215.45,222.83,206.75,209.58,11925013105.0
2024-11-15,209.57,220.46,204.57,218.53,7673977399.0
2024-11-16,218.51,221.95,213.4,215.81,6686947576.0
2024-11-17,215.81,241.99,212.21,237.53,12858625418.0
2024-11-18,237.5,248.52,234.03,239.94,10734053581.0
2024-11-19,239.95,247.75,233.74,237.99,8897416173.0
2024-11-20,237.99,242.72,230.66,235.68,8840426056.0
2024-11-21,235.68,259.89,230.02,256.65,14508323283.0
2024-11-22,256.65,264.63,251.75,257.23,10918990848.0
2024-11-23,257.23,264.32,253.01,255.12,8526046398.0
2024-11-24,255.11,260.0,241.2,253.03,7114689240.0
2024-11-25,253.03,256.82,231.16,234.18,7363613732.0
2024-11-26,234.14,239.91,221.57,230.6,10210987515.0
2024-11-27,230.6,243.56,227.5,242.24,7550578295.0
2024-11-28,242.24,245.49,232.89,237.65,5907880328.0
2024-11-29,237.64,246.87,236.6,243.43,5647701610.0
2024-11-30,243.43,245.43,237.61,237.74,4811421546.0
2024-12-01,237.74,240.0,234.24,236.95,4810382931.0
2024-12-02,236.92,238.5,220.03,225.79,7374176295.0
2024-12-03,225.8,240.09,215.0,234.1,8404095315.0
2024-12-04,234.13,240.99,224.69,229.49,9929506813.0
2024-12-05,229.47,244.99,223.19,236.13,11711929487.0
2024-12-06,236.13,247.1,231.11,237.21,10804890184.0
2024-12-07,237.21,243.8,234.32,238.35,5167806398.0
2024-12-08,238.35,241.72,233.32,237.19,4642682304.0
2024-12-09,237.19,237.45,205.0,216.72,8610208198.0
2024-12-10,216.71,221.09,203.27,213.75,12490875702.0
2024-12-11,213.75,230.84,211.62,227.42,7906066563.0
2024-12-12,227.42,234.79,225.61,227.0,6122233988.0
2024-12-13,226.99,228.47,220.6,224.82,5484785140.0
2024-12-14,224.8,227.48,215.15,219.88,3769932062.0
2024-12-15,219.9,225.44,215.67,224.25,3550225868.0
2024-12-16,224.2,227.0,213.11,216.27,6783732420.0
2024-12-17,216.27,229.03,211.5,223.2,8087902246.0
2024-12-18,223.2,226.0,204.77,206.39,7554800465.0
2024-12-19,206.41,212.03,186.77,193.64,8948096715.0
2024-12-20,193.66,199.53,175.01,194.43,12235996880.0
2024-12-21,194.44,202.14,178.36,181.34,6717388912.0
2024-12-22,181.36,187.73,176.71,180.35,5263058170.0
2024-12-23,180.33,193.22,176.33,189.88,5995814230.0
2024-12-24,189.88,198.93,185.86,196.95,5016397301.0
2024-12-25,196.95,201.74,194.9,197.31,3390896996.0
2024-12-26,197.33,199.59,186.42,188.24,3525875755.0
2024-12-27,188.21,194.12,182.51,183.95,3658067202.0
2024-12-28,183.94,195.71,183.55,195.15,2549305934.0
2024-12-29,195.16,197.37,188.19,189.6,2636591901.0
2024-12-30,189.6,196.22,185.54,191.01,3781887083.0
2024-12-31,191.0,198.89,187.72,188.82,4116815835.0
2025-01-01,188.82,194.99,187.6,193.84,3135315145.0
2025-01-02,193.84,210.23,193.04,208.09,5248985291.0
2025-01-03,208.1,219.69,205.43,217.93,4418678776.0
2025-01-04,217.89,218.0,213.52,216.64,3140336761.0
2025-01-05,216.64,219.0,211.47,213.35,3055527636.0
2025-01-06,213.35,223.18,211.5,218.34,4192856570.0
2025-01-07,218.33,219.23,201.75,202.13,4847458961.0
2025-01-08,202.13,203.23,188.25,197.42,6206929355.0
2025-01-09,197.43,199.0,182.01,184.96,4415388569.0
2025-01-10,184.96,193.01,183.49,187.63,4995553797.0
2025-01-11,187.62,191.79,184.0,188.03,2572292522.0
2025-01-12,188.03,190.91,185.07,188.4,1976796117.0
2025-01-13,188.4,191.85,169.22,182.75,5225490858.0
2025-01-14,182.76,190.05,181.77,187.49,3451026205.0
2025-01-15,187.49,206.06,185.76,205.9,4071481523.0
2025-01-16,205.9,217.07,198.43,211.08,6099125467.0
2025-01-17,211.13,222.0,209.82,219.56,5795267205.0
2025-01-18,219.55,270.0,217.33,261.99,23186958912.0
2025-01-19,261.9,295.0,237.12,252.34,33172955667.0
2025-01-20,252.33,273.29,229.19,241.65,31465279410.0
2025-01-21,241.7,260.24,230.0,250.32,16109919156.0
2025-01-22,250.33,271.96,248.36,257.23,9580286835.0
2025-01-23,257.26,258.42,241.98,253.12,11051456982.0
2025-01-24,253.17,270.0,247.23,253.37,9157952864.0
2025-01-25,253.35,260.76,246.25,256.36,6351542492.0
2025-01-26,256.31,259.96,240.1,240.39,4178231600.0
2025-01-27,240.36,242.54,220.82,234.87,11432790785.0
2025-01-28,234.89,243.95,224.93,226.89,5105320114.0
2025-01-29,226.91,238.44,222.57,228.16,5534334464.0
2025-01-30,228.15,244.7,226.79,238.32,4937317376.0
2025-01-31,238.3,241.82,228.08,231.71,4043216055.0
2025-02-01,231.69,234.12,212.67,212.94,3546350864.0
2025-02-02,212.94,218.82,192.7,203.45,8432593480.0
2025-02-03,203.49,218.97,176.0,216.48,15938832384.0
2025-02-04,216.48,220.14,202.08,206.7,7393096704.0
2025-02-05,206.73,209.47,195.15,196.13,4273907456.0
2025-02-06,196.13,204.0,187.5,189.57,3936545265.0
2025-02-07,189.59,203.62,188.15,192.06,4704152576.0
2025-02-08,192.04,200.97,189.76,199.41,2485697024.0
2025-02-09,199.41,207.43,193.55,200.51,3380872965.0
2025-02-10,200.51,209.2,195.95,200.53,4496010240.0
2025-02-11,200.51,206.22,195.06,197.93,3907611299.0
2025-02-12,197.94,198.58,188.42,196.8,4290836657.0
2025-02-13,196.82,198.49,188.93,194.29,2960946944.0
2025-02-14,194.29,205.37,194.17,199.43,3732334277.0
2025-02-15,199.42,200.32,192.64,194.53,2314362624.0
2025-02-16,194.53,196.25,186.01,188.29,2160799161.0
2025-02-17,188.29,189.73,174.71,177.52,4345262539.0
2025-02-18,177.52,179.07,160.78,169.2,6684824301.0
2025-02-19,169.23,174.26,163.67,168.89,3848802816.0
2025-02-20,168.93,176.7,167.64,176.05,3395726080.0
2025-02-21,176.05,180.61,166.99,168.82,4684370707.0
2025-02-22,168.82,174.67,167.98,172.08,2257507584.0
2025-02-23,172.09,173.1,166.4,167.95,1621130854.0
2025-02-24,167.95,169.65,137.77,141.79,7062261489.0
2025-02-25,141.79,146.95,131.89,144.16,10670460928.0
2025-02-26,144.17,144.99,130.43,135.12,4916419994.0
2025-02-27,135.14,142.73,134.52,137.54,3812716032.0
2025-02-28,137.55,148.61,125.36,148.09,7544673033.0
2025-03-01,148.09,151.1,138.49,143.59,3327200512.0
2025-03-02,143.63,180.0,139.98,178.72,11540413390.0
2025-03-03,178.72,179.45,139.01,142.05,9638505472.0
2025-03-04,142.05,146.92,130.66,144.78,8064206848.0
2025-03-05,144.75,149.72,140.18,146.31,4794560512.0
2025-03-06,146.29,152.9,142.42,143.29,4204376336.0
2025-03-07,143.3,150.82,135.02,139.33,6090751623.0
2025-03-08,139.31,141.0,135.22,136.95,2742967040.0
2025-03-09,136.97,139.82,124.7,126.45,3429886567.0
2025-03-10,126.48,131.52,115.4,118.24,5573163520.0
2025-03-11,118.25,128.41,112.0,125.34,5467636736.0
2025-03-12,125.32,131.62,121.2,126.6,4112201839.0
2025-03-13,126.59,128.75,120.69,123.3,3003937792.0
2025-03-14,123.33,136.09,122.92,133.55,3161542602.0
2025-03-15,133.52,136.56,132.45,135.91,2062404864.0
2025-03-16,135.88,136.71,125.17,126.1,2456569508.0
2025-03-17,126.09,130.65,125.53,128.03,2544578304.0
2025-03-18,128.03,128.21,121.69,125.29,2541817856.0
2025-03-19,125.31,136.13,124.19,135.39,3539287974.0
2025-03-20,135.38,136.18,126.6,127.5,2713796352.0
2025-03-21,127.51,130.14,124.81,128.44,2370317364.0
2025-03-22,128.42,131.8,127.76,128.47,1559455360.0
2025-03-23,128.47,134.05,128.2,132.85,1711242607.0
2025-03-24,132.85,145.2,132.06,141.0,4207560020.0
2025-03-25,141.02,147.6,138.16,143.69,3589187840.0
2025-03-26,143.68,145.55,135.9,137.38,3100289280.0
2025-03-27,137.38,140.25,135.64,138.4,2801787648.0
2025-03-28,138.39,139.02,127.67,129.44,3532896573.0
2025-03-29,129.44,130.49,122.68,124.54,2301883392.0
2025-03-30,124.54,127.02,122.99,124.8,1639017444.0
2025-03-31,124.81,127.82,122.72,124.54,3206702485.0
2025-04-01,124.51,130.44,123.74,126.69,3069057792.0
2025-04-02,126.69,136.18,117.23,117.4,5399672438.0
2025-04-03,117.41,120.94,112.22,117.12,6009036800.0
2025-04-04,117.14,124.81,113.26,122.74,5182517335.0
2025-04-05,122.74,122.81,115.81,120.25,1795519360.0
2025-04-06,120.25,121.05,103.71,105.82,3822458629.0
2025-04-07,105.81,113.05,95.16,106.94,9202468864.0
2025-04-08,106.93,112.57,102.86,105.35,5353641480.0
2025-04-09,105.36,121.29,101.16,119.04,7096350476.0
2025-04-10,119.02,119.29,108.31,112.75,6084996096.0
2025-04-11,112.73,122.66,112.07,121.36,4304486912.0
2025-04-12,121.36,134.11,119.36,132.22,4089397536.0
2025-04-13,132.22,133.98,125.26,128.32,4315273728.0
2025-04-14,128.32,136.0,127.89,129.39,4425565001.0
2025-04-15,129.39,134.42,125.8,126.09,3272094237.0
2025-04-16,126.1,133.91,123.46,131.32,4448562334.0
2025-04-17,131.31,136.15,129.47,134.85,4452846592.0
2025-04-18,134.85,136.0,132.46,134.03,2702501713.0
2025-04-19,134.06,140.5,133.58,139.87,2587591729.0
2025-04-20,139.86,141.97,135.67,137.85,3748718797.0
2025-04-21,137.86,143.13,133.82,136.56,4478025502.0
2025-04-22,136.54,150.31,134.69,148.84,5420569230.0
2025-04-23,148.86,154.28,147.2,151.16,5315865502.0
2025-04-24,151.17,152.93,145.21,152.6,3966430464.0
2025-04-25,152.61,157.08,150.01,150.91,4411923686.0
2025-04-26,150.92,153.26,147.79,149.27,2274087936.0
2025-04-27,149.29,150.43,145.54,148.04,2146254976.0
2025-04-28,148.03,153.45,144.69,147.9,3819502747.0
2025-04-29,147.89,150.38,145.0,146.34,2906733312.0
2025-04-30,146.33,148.7,140.4,147.56,3029430528.0
2025-05-01,147.57,154.04,147.56,150.89,3224541533.0
2025-05-02,150.88,151.99,147.36,148.09,2823970426.0
2025-05-03,148.09,149.11,145.88,146.75,1567415096.0
2025-05-04,146.75,147.81,143.59,143.97,1793846656.0
2025-05-05,143.96,147.71,142.51,146.68,2238980623.0
2025-05-06,146.68,147.23,141.34,146.89,3002477824.0
2025-05-07,146.89,149.64,144.67,147.37,4618285056.0
2025-05-08,147.36,164.57,147.11,164.45,6372889923.0
2025-05-09,164.44,176.14,161.02,172.8,7452318987.0
2025-05-10,172.81,178.93,168.75,177.91,4799035904.0
2025-05-11,177.88,180.16,169.41,173.23,4025374577.0
2025-05-12,173.22,181.45,168.3,174.22,6940951587.0
2025-05-13,174.23,184.8,166.17,183.76,5264231424.0
2025-05-14,183.76,184.86,173.12,176.69,4610872279.0
2025-05-15,176.69,178.39,166.8,169.19,4347587992.0
2025-05-16,169.18,174.28,166.43,167.48,4467467879.0
2025-05-17,167.47,170.01,164.1,166.03,2951381402.0
2025-05-18,166.01,176.83,164.7,173.39,5418193113.0
2025-05-19,173.39,174.01,159.48,166.88,5351813625.0
2025-05-20,166.91,173.13,164.57,168.64,4232588311.0
2025-05-21,168.65,176.0,165.61,173.61,5649052160.0
2025-05-22,173.65,180.85,172.63,179.72,5184079872.0
2025-05-23,179.73,187.73,173.27,174.03,7488253558.0
2025-05-24,174.02,178.37,172.66,175.96,3131876352.0
2025-05-25,175.96,176.96,169.2,175.8,3395309315.0
2025-05-26,175.81,179.12,173.55,174.97,3395309315.0
2025-05-27,174.99,179.5,171.29,176.8,3737068836.0
2025-05-28,176.77,177.5,168.99,172.28,3737068836.0
2025-05-29,172.27,175.43,165.96,166.71,3818620416.0
2025-05-30,166.7,167.5,155.27,156.28,4458908034.0
2025-05-31,156.3,158.1,152.2,156.53,2817151487.0
2025-06-01,156.55,158.01,150.65,157.76,2619095040.0
2025-06-02,157.78,159.0,151.71,156.9,3497301248.0
2025-06-03,156.91,163.76,154.23,155.29,3739800274.0
2025-06-04,155.31,158.04,153.0,153.33,2773179823.0
2025-06-05,153.31,154.69,141.53,144.36,5247756536.0
2025-06-06,144.38,152.5,144.19,147.96,2780168622.0
2025-06-07,147.96,152.93,146.92,150.15,1895979261.0
2025-06-08,150.13,155.35,148.0,152.53,2057570944.0
2025-06-09,152.54,161.8,149.68,161.24,3791122688.0
2025-06-10,161.22,165.71,156.35,165.15,5299456000.0
2025-06-11,165.13,168.38,159.25,161.01,5292694830.0
2025-06-12,161.01,161.35,152.08,152.39,5361867776.0
2025-06-13,152.39,152.67,140.89,148.66,6346327306.0
2025-06-14,148.68,148.76,142.03,144.72,2269593879.0
2025-06-15,144.71,153.58,144.29,152.99,4399111680.0
2025-06-16,153.0,158.82,150.37,150.77,4677097984.0
2025-06-17,150.78,154.38,145.6,147.61,4505742897.0
2025-06-18,147.61,149.32,143.69,146.41,3507323344.0
2025-06-19,146.4,147.96,142.98,147.04,2754965137.0
2025-06-20,147.08,148.83,135.72,140.15,4148753152.0
2025-06-21,140.14,142.63,131.0,135.46,3870066688.0
2025-06-22,135.48,137.69,126.03,131.76,4990284543.0
2025-06-23,131.76,147.03,130.72,144.59,5753952768.0
2025-06-24,144.62,146.9,142.4,145.98,3709899362.0
2025-06-25,145.97,148.02,142.35,143.65,3225949696.0
2025-06-26,143.5091,147.20766,143.5091,145.4,3244732672.0
